AnimalID,Name,DateTime,OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color
A691299,Lara,2014-11-11 12:02:00,Transfer,Partner,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Brown
A687076,Katy,2014-09-05 14:33:00,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Torbie
A712657,Hank,2015-12-12 17:45:00,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black
A720651,,2016-02-18 17:38:00,Adoption,,Dog,Spayed Female,2 months,German Shepherd Mix,Black/Brown
A673289,Essie,2014-02-27 16:58:00,Adoption,,Dog,Spayed Female,1 year,Rat Terrier Mix,White/Black
A664425,Simba,2013-10-09 17:26:00,Adoption,,Dog,Neutered Male,2 months,Chihuahua Shorthair Mix,White/Tan
A459845,Precious,2014-05-05 13:25:00,Return_to_owner,,Cat,Spayed Female,7 years,Snowshoe/Ragdoll,Seal Point/White
A678253,Magic,2014-05-18 13:38:00,Adoption,,Cat,Spayed Female,7 months,Domestic Longhair Mix,Black
A720574,Mimi,2016-02-16 14:40:00,Euthanasia,Suffering,Cat,Spayed Female,10 years,Domestic Shorthair Mix,Tortie
A718503,Johannes,2016-01-06 12:15:00,Adoption,,Dog,Neutered Male,1 year,Miniature Poodle Mix,White
A685804,Mongo,2014-10-30 17:30:00,Adoption,,Dog,Neutered Male,3 years,Cardigan Welsh Corgi Mix,Tricolor
A676738,Libby,2014-04-16 14:09:00,Return_to_owner,,Dog,Spayed Female,10 years,Boxer Mix,Brown
A709397,Kitty Cat,2015-08-19 16:53:00,Transfer,Partner,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Orange Tabby
A707486,Lilly,2015-09-29 17:22:00,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie
A707600,,2015-07-30 09:00:00,Transfer,SCRP,Cat,Spayed Female,10 months,Domestic Shorthair Mix,Tortie
A683926,,2014-07-21 18:44:00,Adoption,,Cat,Spayed Female,2 months,Domestic Medium Hair Mix,Tortie
A678798,Jaime,2014-07-12 17:35:00,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby
A700888,Wilbur,2015-07-26 12:16:00,Adoption,,Dog,Neutered Male,1 year,Rhod Ridgeback/Pit Bull,White/Brown
A687725,Fern,2014-09-18 15:20:00,Transfer,Partner,Cat,Intact Female,2 months,Domestic Shorthair,Brown Tabby/White
A682283,Lizzy,2014-07-12 15:01:00,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie
A668537,Eedo,2013-12-09 17:01:00,Transfer,Partner,Dog,Neutered Male,1 year,Miniature Pinscher Mix,Black/Tan
